round,pick,manager,player,salary,team,note
0,1,Austin,Blake Griffin,20140838,los angeles clippers,kept
0,1,sam,Anthony Davis,22116750,new orleans pelicans,kept
0,1,eli,Paul George,18314532,indiana pacers,kept
0,1,Pedro Moura,Victor Oladipo,6552960,oklahoma city thunder,kept
0,1,Zach,Russell Westbrook,26540100,oklahoma city thunder,kept
0,1,Everett,LeBron James,30963450,cleveland cavaliers,kept
0,1,Ryan Kartje,James Harden,26540100,houston rockets,kept
0,1,Ryan,Al Horford,26540100,boston celtics,kept
0,1,Justin,Klay Thompson,16663575,golden state warriors,kept
0,1,Christian M,Dennis Schroder,2708582,atlanta hawks,kept
0,2,Austin,DeMarcus Cousins,16957900,sacramento kings,kept
0,2,sam,Jimmy Butler,17552209,chicago bulls,kept
0,2,eli,Kawhi Leonard,17638063,san antonio spurs,kept
0,2,Pedro Moura,Kristaps Porzingis,4317720,new york knicks,kept
0,2,Zach,Karl-Anthony Towns,5960160,minnesota timberwolves,kept
0,2,Everett,John Wall,16957900,washington wizards,kept
0,2,Ryan Kartje,Draymond Green,15330435,golden state warriors,kept
0,2,Ryan,Stephen Curry,12112359,golden state warriors,kept
0,2,Justin,Andrew Wiggins,6006600,minnesota timberwolves,kept
0,2,Christian M,Jusuf Nurkic,1921320,denver nuggets,kept
0,3,Austin,Giannis Antetokounmpo,2995421,milwaukee bucks,kept
0,3,sam,Kyle Lowry,12000000,toronto raptors,kept
0,3,eli,Aaron Gordon,4351320,orlando magic,kept
0,3,Pedro Moura,C.J. McCollum,3219579,portland trail blazers,kept
0,3,Zach,Rudy Gobert,2121288,utah jazz,kept
0,3,Everett,Gorgui Dieng,2348783,minnesota timberwolves,kept
0,3,Ryan Kartje,Nikola Jokic,1358500,denver nuggets,kept
0,3,Ryan,Julius Randle,3267120,los angeles lakers,kept
0,3,Justin,Jabari Parker,5374320,milwaukee bucks,kept
0,3,Christian M,Rodney Hood,1406520,utah jazz,kept
1,1,Christian M,Isaiah Thomas,6587132,boston celtics,
1,2,Justin,Damian Lillard,24328425,portland trail blazers,
